"Année","Président","Thème d'écrit","Auteur Ecrit 1","Auteur Ecrit 2","Auteur Français 1","Titre Français 1","Section Français 1","Année Français 1","Auteur Français 2","Titre Français 2","Section Français 2","Année Français 2","Auteur  Grec","Titre Grec","Section Grec","Année Grec","Auteur Latin","Titre Latin","Section Latin","Année Latin","Auteur Allemand","Titre Allemand","Section Allemand","Année Allemand","Auteur Anglais","Titre Anglais","Section Anglais","Année Anglais","Auteur Arabe","Titre Arabe","Section Arabe","Année Arabe","Auteur Italien","Titre Italien","Section Italien","Année Italien"
"2015","Paul Mathias","Le phénomène","Platon","Marx","Sartre","L'être et le néant","III et IV","1943","Leibniz","Discours de métaphysique et Correspondance avec Arnauld","","1680","Plotin","Ennéades","III, 7","270.0","Duns Scot","Ordinatio","II, dist. 3, p. 1 (""Le principe d'individuation"")","1300","Hegel","Phénoménologie de l'Esprit, VII, La religion et VIII, L'esprit absolu","VIII-absolu","1807","John Stuart Mill","Logique","VI","1843","Al Farabi","L'accession à la félicité","","950","Dante","Le Banquet","IV","1307.0"
"2016","Paul Mathias","La réflexion","Aristote","Spinoza","Malebranche","Entretiens sur la métaphysique, sur la religion et sur la mort","","1711","Rawls","Théorie de la justice","","1971","Platon","Phèdre","","-375.0","Sénèque","De la providence;De la constance du sage;De la tranquilité de l'âme","","58","Kant","Critique de la raison pure, Doctrine transcendantale de la méthode","","1781","Dewey","Le public et ses problèmes","","1927","Al Ghazali","L'incohérence des philosophes","II, 17-20","1093","Galilée","L'essayeur","","1623.0"
"2017","Paul Mathias","Le monde","Augustin","Hume","Foucault","L'archéologie du savoir","","1969","Pascal","Pensées, opuscules et lettres","","1669","Epicure","Lettres","","-300.0","Nicolas de Cues","Le pouvoir-est","","1460","Husserl","Méditations cartésiennes","","1931","Hobbes","Leviathan","I et II","1651","Al Farabi","La Politique civile","","950","Leopardi","Petites œuvres morales","","1827.0"
"2018","Paul Mathias","Travail - Techniques - Production","Stoïciens","Leibniz","Merleau-Ponty","Phénoménologie de la perception","","1945","Condillac","Essai sur l'origine des connaissances humaines","","1746","Sextus Empiricus","Contre les moralistes","","300.0","Thomas d'Aquin","La Royauté, au roi de Chypre","","1274","Feuerbach","L'essence du christianisme, deuxième partie","","1841","Putnam","Raison, vérité et histoire","1-6","1984","Ibn Khaldoun","Discours sur l'histoire universelle","2025-01-01 00:00:00","1375","Machiavel","Discours sur la première décade de Tite-Live","I","1531.0"
"2019","Isabelle Pariente-Butterlin","Le temps","Locke","Hegel","Descartes","Méditations métaphysiques - Objections et Réponses","","1641","Lucrèce","De la nature des choses","","-70","Platon","Philèbe","","-370.0","Cicéron","De la nature des Dieux","I","-45","Carnap","La construction logique du monde, I-III","I-III","1928","Peirce","Le pragmatisme","","1870","Averroès","L'incohérence de l'incohérence","I et II","1181","Beccaria","Des délits et des peines","","1765.0"
"2020","Isabelle Pariente-Butterlin","La représentation","Platon","Nietzsche","Bergson","La pensée et le mouvant","","1934","Rousseau","Emile ou De l'éducation","","1762","Aristote","Poétique","","-322.0","Spinoza","Traité de la réforme de l'entendement","","1677","Simmel","Philosophie de l'argent, I, ch. 1 et 2","ch. 1 et 2","1900","Adam Smith","Théorie des sentiments moraux","I-IV","1759","Ibn Tufayl","Le philosophe autodidacte","","1180","Croce","Bréviaire d'esthétique","I-IV","1913.0"
"2021","Isabelle Pariente-Butterlin","Le commun","Aristote","Diderot","Lévi-Strauss","Anthropologie structurale","I","1958","Spinoza","Traité Théologico-politique","","1670","Theophraste","Caractères","","-319.0","Erasme","L'éducation du prince chrétien","","1516","Adorno","Minima Moralia","Moralia","1951","David Ross","The Right and the Good","","1930","Al Farabi","L'harmonie entre les opinions de Platon et d'Aristote","","950","Giovanni Botero","De la raison d'Etat","I-IV","1589.0"
"2022","Frank Burbage","Le principe","Hobbes","Wittgenstein","Cournot","Matérialisme, vitalisme, rationalisme","","1875","Aristote","Ethique à Nicomaque","","-322","Epictète","Entretiens","II","135.0","Sénèque","Lettres à Lucilius","89-95","65","Stirner","L'unique et sa propriété","","1844","Hume","Enquête sur l'entendement humain","","1748","Maimonide","Guide des égarés","I, 68-76","1190","Giuseppe Rensi","La philosophie de l'absurde","I-V","1937.0"
"2023","Frank Burbage","Le corps","Cicéron","Kant","Bayle","Pensées diverses sur la Comète","","1680","Hegel","Principes de la philosophie du droit","","1820","Plotin","Ennéades","VI, 7","270.0","Henri de Gand","Summa","Proemium, I, 1-3","1292","Ernst Bloch","Le principe espérance, Préface, 1-8, 17-19","","1954","Arendt","La crise de la culture","","1954","Avicenne","De la Métaphysique;Du livre de la guérison","I;","1020","Galilée","Lettres"," I, 1-3 et III, 2","1642.0"
"2024","Frank Burbage","L'imagination","Montaigne","Husserl","Platon","La République","","-394","Simone Weil","La condition ouvrière","","1951","Plutarque","Contre Colotès","","100.0","Lucrèce","De la nature","IV","-70","Nietzsche","Par-delà Bien et Mal, I-VI","I-VI","1886","Bernard Williams","L'éthique et les limites de la philosophie","","1985","Razi","Doutes sur Galien","","900","Leopardi","Le massacre des illusions","","1820.0"
"2025","?","Le hasard et la nécessité","Augustin","Montesquieu","Descartes","Principes de la philosophie","","1647","Deleuze","Différence et répétition","","1968","Aristote","Métaphysique","Gamma","-322.0","Spinoza","Ethique","III","1677","Kant","Critique de la raison pratique, Analytique de la raison pure pratique","C-pratique","1788","Adam Smith","Essais philosophiques","","1795","Al Ghazali","Le critère de distinction entre l'Islam et l'incroyance","","1080","François Guichardin","Ricordi","","1530.0"
